f,data,prd,RE,symbol,units,description,prd_f1
0.91,5110,5071,0.007632,am,d,life span,5070
0.91,1.5,2.011,0.3405,Lj,cm,body length at metam,2.021
0.91,9,8.396,0.06715,Li,cm,ultimate body length,9.226
0.91,0.05,0.04158,0.1685,Wwb,g,wet weight at birth,0.04567
0.91,68.6,51.85,0.2441,Wwi,g,ultimate wet weight,75.34
0.91,4.11,1.44,0.6495,Ri,#/d,maximum reprod rate,3.879
0.90,35,35.26,0.007557,ab,d,age at birth,35.16
0.90,45.75,39.79,0.1303,tj,d,time since birth at metam,38.97
0.90,1095,1534,0.4014,tp,d,time since metam at puberty,1001
0.90,5110,5071,0.007616,am,d,life span,5070
0.90,1.5,2.009,0.3396,Lj,cm,body length at metam,2.021
0.90,9,8.303,0.0774,Li,cm,ultimate body length,9.226
0.90,0.05,0.04112,0.1776,Wwb,g,wet weight at birth,0.04567
0.90,68.6,49.63,0.2765,Wwi,g,ultimate wet weight,75.34
0.90,4.11,1.175,0.7141,Ri,#/d,maximum reprod rate,3.879
0.89,35,35.28,0.007897,ab,d,age at birth,35.16
0.89,45.75,39.88,0.1283,tj,d,time since birth at metam,38.97
0.89,1095,1663,0.5191,tp,d,time since metam at puberty,1001
0.89,5110,5071,0.0076,am,d,life span,5070
0.89,1.5,2.008,0.3387,Lj,cm,body length at metam,2.021
0.89,9,8.211,0.08765,Li,cm,ultimate body length,9.226
0.89,0.05,0.04067,0.1867,Wwb,g,wet weight at birth,0.04567
0.89,68.6,47.48,0.3078,Wwi,g,ultimate wet weight,75.34
0.89,4.11,0.9107,0.7784,Ri,#/d,maximum reprod rate,3.879
0.88,35,35.29,0.008244,ab,d,age at birth,35.16
0.88,45.75,39.98,0.1262,tj,d,time since birth at metam,38.97
0.88,1095,1842,0.6819,tp,d,time since metam at puberty,1001
0.88,5110,5071,0.007585,am,d,life span,5070
0.88,1.5,2.007,0.3378,Lj,cm,body length at metam,2.021
0.88,9,8.119,0.0979,Li,cm,ultimate body length,9.226
0.88,0.05,0.04021,0.1958,Wwb,g,wet weight at birth,0.04567
0.88,68.6,45.41,0.3381,Wwi,g,ultimate wet weight,75.34
0.88,4.11,0.6475,0.8424,Ri,#/d,maximum reprod rate,3.879
0.87,35,35.3,0.008599,ab,d,age at birth,35.16
0.87,45.75,40.08,0.124,tj,d,time since birth at metam,38.97
0.87,1095,2122,0.9378,tp,d,time since metam at puberty,1001
0.87,5110,5071,0.007562,am,d,life span,5070
0.87,1.5,2.005,0.3368,Lj,cm,body length at metam,2.021
0.87,9,8.027,0.1082,Li,cm,ultimate body length,9.226
0.87,0.05,0.03976,0.2049,Wwb,g,wet weight at birth,0.04567
0.87,68.6,43.4,0.3674,Wwi,g,ultimate wet weight,75.34
0.87,4.11,0,1,Ri,#/d,maximum reprod rate,3.879
0.86,35,35.31,0.008962,ab,d,age at birth,35.16
0.86,45.75,40.18,0.1219,tj,d,time since birth at metam,38.97
0.86,1095,2756,1.517,tp,d,time since metam at puberty,1001
0.86,5110,5071,0.007553,am,d,life span,5070
0.86,1.5,2.004,0.3358,Lj,cm,body length at metam,2.021
0.86,9,7.934,0.1184,Li,cm,ultimate body length,9.226
0.86,0.05,0.0393,0.214,Wwb,g,wet weight at birth,0.04567
0.86,68.6,41.46,0.3957,Wwi,g,ultimate wet weight,75.34
0.86,4.11,0,1,Ri,#/d,maximum reprod rate,3.879
