f,data,prd,RE,symbol,units,description,prd_f1
0.91,18,12.52,0.3043,Wwi,g,ultimate wet weight,18.04
0.91,0.01644,0.006338,0.6145,Ri,#/d,maximum reprod rate,0.0165
0.89,13,13.4,0.03101,ab,d,age at birth,13.28
0.89,11,12.53,0.139,tx,d,time since birth at fledging,10.98
0.89,33,52.67,0.5962,tp,d,time since birth at puberty,33.26
0.89,365,365,0,tR,d,time since birth at 1st brood,365
0.89,3212,3739,0.164,am,d,life span,3203
0.89,1,0.8857,0.1143,Wwb,g,wet weight at birth,0.9911
0.89,18,11.49,0.3616,Wwi,g,ultimate wet weight,18.04
0.89,0.01644,0.004181,0.7456,Ri,#/d,maximum reprod rate,0.0165
0.88,13,13.42,0.03197,ab,d,age at birth,13.28
0.88,11,12.71,0.1559,tx,d,time since birth at fledging,10.98
0.88,33,57.45,0.741,tp,d,time since birth at puberty,33.26
0.88,365,365,0,tR,d,time since birth at 1st brood,365
0.88,3212,3790,0.18,am,d,life span,3203
0.88,1,0.8761,0.1239,Wwb,g,wet weight at birth,0.9911
0.88,18,11,0.3889,Wwi,g,ultimate wet weight,18.04
0.88,0.01644,0.003116,0.8104,Ri,#/d,maximum reprod rate,0.0165
0.87,13,13.43,0.03296,ab,d,age at birth,13.28
0.87,11,12.91,0.1736,tx,d,time since birth at fledging,10.98
0.87,33,64.43,0.9524,tp,d,time since birth at puberty,33.26
0.87,365,365,0,tR,d,time since birth at 1st brood,365
0.87,3212,3842,0.1962,am,d,life span,3203
0.87,1,0.8665,0.1335,Wwb,g,wet weight at birth,0.9911
0.87,18,10.53,0.4153,Wwi,g,ultimate wet weight,18.04
0.87,0.01644,0.002061,0.8746,Ri,#/d,maximum reprod rate,0.0165
0.86,13,13.44,0.03397,ab,d,age at birth,13.28
0.86,11,13.12,0.1924,tx,d,time since birth at fledging,10.98
0.86,33,76.87,1.33,tp,d,time since birth at puberty,33.26
0.86,365,365,0,tR,d,time since birth at 1st brood,365
0.86,3212,3895,0.2125,am,d,life span,3203
0.86,1,0.857,0.143,Wwb,g,wet weight at birth,0.9911
0.86,18,10.07,0.4408,Wwi,g,ultimate wet weight,18.04
0.86,0.01644,0.001014,0.9383,Ri,#/d,maximum reprod rate,0.0165
