f,data,prd,RE,symbol,units,description,prd_f1
0.93,2.41,2.35,0.02507,Lb,cm,SVL at hatching,2.352
0.93,4.42,5.243,0.1861,Lp,cm,SVL at puberty for females,5.35
0.93,4.99,4.904,0.01732,Lpm,cm,SVL at puberty for males,4.992
0.93,6.683,6.005,0.1015,Li,cm,ultimate SVL for females,6.457
0.93,6.223,5.893,0.05297,Lim,cm,ultimate SVL for males,6.337
0.93,0.98,0.9807,0.0007183,Ww0,g,wet weight of eggs,0.994
0.93,0.36,0.2558,0.2894,Wwb,g,wet weight of hatchlings,0.2705
0.93,5.078,4.271,0.159,Wwi,g,ultimate wet weight,5.599
0.93,5.95,4.613,0.2248,Wwim,g,ultimate wet weight for males,6.049
0.93,0.0274,0.01684,0.3855,Ri,#/d,maximum reprod rate,0.02474
0.92,912.5,896.8,0.0172,tp,d,time since birth at puberty,741.8
0.92,5840,5844,0.0007126,am,d,life span,5843
0.92,2.41,2.349,0.0252,Lb,cm,SVL at hatching,2.352
0.92,4.42,5.225,0.1822,Lp,cm,SVL at puberty for females,5.35
0.92,4.99,4.889,0.02015,Lpm,cm,SVL at puberty for males,4.992
0.92,6.683,5.94,0.1111,Li,cm,ultimate SVL for females,6.457
0.92,6.223,5.83,0.06315,Lim,cm,ultimate SVL for males,6.337
0.92,0.98,0.9788,0.001206,Ww0,g,wet weight of eggs,0.994
0.92,0.36,0.2537,0.2952,Wwb,g,wet weight of hatchlings,0.2705
0.92,5.078,4.102,0.1921,Wwi,g,ultimate wet weight,5.599
0.92,5.95,4.43,0.2554,Wwim,g,ultimate wet weight for males,6.049
0.92,0.0274,0.01579,0.4238,Ri,#/d,maximum reprod rate,0.02474
0.91,912.5,922.3,0.01077,tp,d,time since birth at puberty,741.8
0.91,5840,5844,0.0007448,am,d,life span,5843
0.91,2.41,2.349,0.02534,Lb,cm,SVL at hatching,2.352
0.91,4.42,5.208,0.1782,Lp,cm,SVL at puberty for females,5.35
0.91,4.99,4.875,0.02305,Lpm,cm,SVL at puberty for males,4.992
0.91,6.683,5.876,0.1208,Li,cm,ultimate SVL for females,6.457
0.91,6.223,5.767,0.07334,Lim,cm,ultimate SVL for males,6.337
0.91,0.98,0.9769,0.003128,Ww0,g,wet weight of eggs,0.994
0.91,0.36,0.2516,0.301,Wwb,g,wet weight of hatchlings,0.2705
0.91,5.078,3.939,0.2243,Wwi,g,ultimate wet weight,5.599
0.91,5.95,4.254,0.2851,Wwim,g,ultimate wet weight for males,6.049
0.91,0.0274,0.01475,0.4615,Ri,#/d,maximum reprod rate,0.02474
0.90,912.5,949.8,0.04087,tp,d,time since birth at puberty,741.8
0.90,5840,5845,0.0007761,am,d,life span,5843
0.90,2.41,2.349,0.02548,Lb,cm,SVL at hatching,2.352
0.90,4.42,5.19,0.1741,Lp,cm,SVL at puberty for females,5.35
0.90,4.99,4.86,0.02604,Lpm,cm,SVL at puberty for males,4.992
0.90,6.683,5.811,0.1304,Li,cm,ultimate SVL for females,6.457
0.90,6.223,5.703,0.08352,Lim,cm,ultimate SVL for males,6.337
0.90,0.98,0.9751,0.005045,Ww0,g,wet weight of eggs,0.994
0.90,0.36,0.2495,0.3069,Wwb,g,wet weight of hatchlings,0.2705
0.90,5.078,3.78,0.2556,Wwi,g,ultimate wet weight,5.599
0.90,5.95,4.082,0.3139,Wwim,g,ultimate wet weight for males,6.049
0.90,0.0274,0.01374,0.4984,Ri,#/d,maximum reprod rate,0.02474
0.85,912.5,1127,0.2355,tp,d,time since birth at puberty,741.8
0.85,5840,5845,0.0009229,am,d,life span,5843
0.85,2.41,2.347,0.02622,Lb,cm,SVL at hatching,2.352
0.85,4.42,5.089,0.1514,Lp,cm,SVL at puberty for females,5.35
0.85,4.99,4.778,0.04244,Lpm,cm,SVL at puberty for males,4.992
0.85,6.683,5.488,0.1787,Li,cm,ultimate SVL for females,6.457
0.85,6.223,5.386,0.1344,Lim,cm,ultimate SVL for males,6.337
0.85,0.98,0.9657,0.01458,Ww0,g,wet weight of eggs,0.994
0.85,0.36,0.239,0.336,Wwb,g,wet weight of hatchlings,0.2705
0.85,5.078,3.058,0.3979,Wwi,g,ultimate wet weight,5.599
0.85,5.95,3.301,0.4452,Wwim,g,ultimate wet weight for males,6.049
0.85,0.0274,0.008964,0.6728,Ri,#/d,maximum reprod rate,0.02474
0.80,912.5,1437,0.5749,tp,d,time since birth at puberty,741.8
0.80,5840,5846,0.001053,am,d,life span,5843
0.80,2.41,2.345,0.02701,Lb,cm,SVL at hatching,2.352
0.80,4.42,4.968,0.1241,Lp,cm,SVL at puberty for females,5.35
0.80,4.99,4.682,0.0618,Lpm,cm,SVL at puberty for males,4.992
0.80,6.683,5.166,0.2271,Li,cm,ultimate SVL for females,6.457
0.80,6.223,05.07,0.1854,Lim,cm,ultimate SVL for males,6.337
0.80,0.98,0.9565,0.02401,Ww0,g,wet weight of eggs,0.994
0.80,0.36,0.2285,0.3651,Wwb,g,wet weight of hatchlings,0.2705
