f,data,prd,RE,symbol,units,description,prd_f1
0.90,37.5,55.22,0.4725,tp,d,time since birth at puberty,38.2
0.90,365,365,0,tR,d,time since birth at 1st brood,365
0.90,6388,6379,0.001368,am,d,life span,6210
0.90,3.5,3.227,0.0781,Wwb,g,wet weight at birth,3.546
0.90,66.2,43.79,0.3385,Wwi,g,ultimate wet weight for female,65.33
0.90,0.01233,0.004182,0.6608,Ri,#/d,maximum reprod rate,0.01245
0.89,13.5,13.75,0.01873,ab,d,age at birth,13.61
0.89,12.5,14.36,0.149,tx,d,time since birth at fledging,12.61
0.89,37.5,58.88,0.5701,tp,d,time since birth at puberty,38.2
0.89,365,365,0,tR,d,time since birth at 1st brood,365
0.89,6388,6394,0.001034,am,d,life span,6210
0.89,3.5,3.195,0.08723,Wwb,g,wet weight at birth,3.546
0.89,66.2,41.97,0.366,Wwi,g,ultimate wet weight for female,65.33
0.89,0.01233,0.003398,0.7244,Ri,#/d,maximum reprod rate,0.01245
0.88,13.5,13.77,0.01981,ab,d,age at birth,13.61
0.88,12.5,14.57,0.1655,tx,d,time since birth at fledging,12.61
0.88,37.5,63.6,0.6959,tp,d,time since birth at puberty,38.2
0.88,365,365,0,tR,d,time since birth at 1st brood,365
0.88,6388,6409,0.003393,am,d,life span,6210
0.88,3.5,3.163,0.09636,Wwb,g,wet weight at birth,3.546
0.88,66.2,40.22,0.3925,Wwi,g,ultimate wet weight for female,65.33
0.88,0.01233,0.002621,0.7874,Ri,#/d,maximum reprod rate,0.01245
0.87,13.5,13.78,0.02091,ab,d,age at birth,13.61
0.87,12.5,14.79,0.1828,tx,d,time since birth at fledging,12.61
0.87,37.5,70.12,0.8698,tp,d,time since birth at puberty,38.2
0.87,365,365,0,tR,d,time since birth at 1st brood,365
0.87,6388,6424,0.005707,am,d,life span,6210
0.87,3.5,3.131,0.1055,Wwb,g,wet weight at birth,3.546
0.87,66.2,38.51,0.4182,Wwi,g,ultimate wet weight for female,65.33
0.87,0.01233,0.001851,0.8499,Ri,#/d,maximum reprod rate,0.01245
0.86,13.5,13.8,0.02203,ab,d,age at birth,13.61
0.86,12.5,15.01,0.2011,tx,d,time since birth at fledging,12.61
0.86,37.5,80.43,1.145,tp,d,time since birth at puberty,38.2
0.86,365,365,0,tR,d,time since birth at 1st brood,365
0.86,6388,6438,0.007976,am,d,life span,6210
0.86,3.5,3.099,0.1146,Wwb,g,wet weight at birth,3.546
0.86,66.2,36.87,0.4431,Wwi,g,ultimate wet weight for female,65.33
0.86,0.01233,0.001089,0.9117,Ri,#/d,maximum reprod rate,0.01245
0.85,13.5,13.81,0.02318,ab,d,age at birth,13.61
0.85,12.5,15.25,0.2204,tx,d,time since birth at fledging,12.61
0.85,37.5,104.4,1.783,tp,d,time since birth at puberty,38.2
0.85,365,365,0,tR,d,time since birth at 1st brood,365
0.85,6388,6453,0.01021,am,d,life span,6210
0.85,3.5,3.067,0.1238,Wwb,g,wet weight at birth,3.546
0.85,66.2,35.27,0.4672,Wwi,g,ultimate wet weight for female,65.33
0.85,0.01233,0.0003343,0.9729,Ri,#/d,maximum reprod rate,0.01245
