f,data,prd,RE,symbol,units,description,prd_f1
0.93,198,154.6,0.2193,tp,d,time since birth at puberty,105
0.93,1168,1111,0.04865,am,d,life span,978.5
0.93,6,6.193,0.03218,Li,cm,ultimate total length,6.659
0.93,0.44,0.4425,0.005793,Wwb,g,wet weight at birth,0.4651
0.93,7.6,8.806,0.1587,Wwx,g,wet weight at weaning,11.02
0.93,8.2,9.241,0.127,Wwp,g,wet weight at puberty,12.08
0.93,8.4,9.241,0.1002,Wwi,g,ultimate wet weight,12.08
0.93,0.04932,0.08076,0.6377,Ri,#/d,maximum reprod rate,0.1602
0.92,21,21.1,0.004748,tg,d,gestation time,21.1
0.92,23,22.05,0.04126,tx,d,time since birth at weaning,19.03
0.92,198,166.1,0.1611,tp,d,time since birth at puberty,105
0.92,1168,1132,0.03105,am,d,life span,978.5
0.92,6,6.126,0.02108,Li,cm,ultimate total length,6.659
0.92,0.44,0.4393,0.001541,Wwb,g,wet weight at birth,0.4651
0.92,7.6,8.505,0.1191,Wwx,g,wet weight at weaning,11.02
0.92,8.2,8.881,0.08306,Wwp,g,wet weight at puberty,12.08
0.92,8.4,8.881,0.05728,Wwi,g,ultimate wet weight,12.08
0.92,0.04932,0.06998,0.419,Ri,#/d,maximum reprod rate,0.1602
0.91,21,21.1,0.004748,tg,d,gestation time,21.1
0.91,23,22.52,0.02101,tx,d,time since birth at weaning,19.03
0.91,198,179.8,0.09205,tp,d,time since birth at puberty,105
0.91,1168,1153,0.01308,am,d,life span,978.5
0.91,6,06.06,0.009979,Li,cm,ultimate total length,6.659
0.91,0.44,0.4361,0.008875,Wwb,g,wet weight at birth,0.4651
0.91,7.6,8.208,0.08006,Wwx,g,wet weight at weaning,11.02
0.91,8.2,8.532,0.04043,Wwp,g,wet weight at puberty,12.08
0.91,8.4,8.532,0.01566,Wwi,g,ultimate wet weight,12.08
0.91,0.04932,0.05933,0.2031,Ri,#/d,maximum reprod rate,0.1602
0.88,21,21.1,0.004748,tg,d,gestation time,21.1
0.88,23,24.07,0.04647,tx,d,time since birth at weaning,19.03
0.88,198,245.4,0.2396,tp,d,time since birth at puberty,105
0.88,1168,1218,0.04301,am,d,life span,978.5
0.88,6,5.86,0.02332,Li,cm,ultimate total length,6.659
0.88,0.44,0.4264,0.03088,Wwb,g,wet weight at birth,0.4651
0.88,7.6,7.347,0.03324,Wwx,g,wet weight at weaning,11.02
0.88,8.2,7.544,0.08,Wwp,g,wet weight at puberty,12.08
0.88,8.4,7.544,0.1019,Wwi,g,ultimate wet weight,12.08
0.88,0.04932,0.02824,0.4273,Ri,#/d,maximum reprod rate,0.1602
0.89,21,21.1,0.004748,tg,d,gestation time,21.1
0.89,23,23.52,0.02278,tx,d,time since birth at weaning,19.03
0.89,198,217.4,0.09798,tp,d,time since birth at puberty,105
0.89,1168,1196,0.02395,am,d,life span,978.5
0.89,6,5.927,0.01222,Li,cm,ultimate total length,6.659
0.89,0.44,0.4296,0.02354,Wwb,g,wet weight at birth,0.4651
0.89,7.6,7.629,0.003878,Wwx,g,wet weight at weaning,11.02
0.89,8.2,7.863,0.04108,Wwp,g,wet weight at puberty,12.08
0.89,8.4,7.863,0.06391,Wwi,g,ultimate wet weight,12.08
0.89,0.04932,0.03846,0.22,Ri,#/d,maximum reprod rate,0.1602
0.87,21,21.1,0.004748,tg,d,gestation time,21.1
0.87,23,24.64,0.07148,tx,d,time since birth at weaning,19.03
0.87,198,286.8,0.4484,tp,d,time since birth at puberty,105
0.87,1168,1241,0.06246,am,d,life span,978.5
0.87,6,5.794,0.03442,Li,cm,ultimate total length,6.659
0.87,0.44,0.4232,0.03821,Wwb,g,wet weight at birth,0.4651
